order_id,order_date,customer_id,product_id,order_amount,quantity,customer_name,country,registration_date,product_name,category,price
28,05-05-2025,326,3,846.84,3,Michael Ramirez,Malaysia,15-11-2024,Tablet,Electronics,282.28
29,25-02-2025,270,11,1132.25,5,Vanessa Phillips,Grenada,03-04-2025,Dining Table,Home,226.45
30,24-10-2024,4,8,288.21,3,Jose Arellano,Belize,05-12-2024,Shoes,Clothing,96.07
31,20-08-2024,72,15,3266.95,5,Cathy Williams,Ireland,14-02-2025,Comics,Books,653.39
32,25-02-2025,57,14,413.7,2,Lisa Garcia,Malawi,06-06-2025,Non-Fiction,Books,206.85
33,17-04-2025,293,11,226.45,1,Ashley Strickland,Wallis and Futuna,28-04-2025,Dining Table,Home,226.45
34,29-12-2024,324,3,282.28,1,Terri Harris,Bahamas,06-01-2024,Tablet,Electronics,282.28
35,21-03-2025,373,10,79,2,Jessica Mccarthy,Albania,28-02-2024,Lamp,Home,39.5
36,15-05-2025,380,4,692.94,3,Dylan Smith,Iceland,15-10-2024,Smartwatch,Electronics,230.98
37,11-01-2025,239,10,39.5,1,Kimberly Washington,Bahamas,29-12-2023,Lamp,Home,39.5
38,18-02-2025,132,8,192.14,2,Laurie Taylor,Tuvalu,20-06-2025,Shoes,Clothing,96.07
39,10-05-2025,248,6,679.93,1,Philip Andrews,Myanmar,27-07-2024,Jeans,Clothing,679.93
40,09-11-2024,147,5,2956.44,4,Heather Carlson,Azerbaijan,01-02-2024,T-Shirt,Clothing,739.11
41,12-11-2024,229,4,692.94,3,Laura Jimenez,Saint Pierre and Miquelon,20-10-2023,Smartwatch,Electronics,230.98
42,15-10-2024,494,3,1129.12,4,Kristin Yates,Guinea-Bissau,10-08-2024,Tablet,Electronics,282.28
43,11-05-2025,65,14,620.55,3,Amanda Patel,Nauru,24-11-2023,Non-Fiction,Books,206.85
44,07-12-2024,187,9,855.4,2,Lisa King,Sao Tome and Principe,15-05-2024,Sofa,Home,427.7
45,04-06-2025,459,2,104.28,3,Anthony Blake,Barbados,31-05-2025,Laptop,Electronics,34.76
46,03-04-2025,27,11,679.35,3,Kayla Boyd,Colombia,13-01-2024,Dining Table,Home,226.45
47,20-03-2025,356,11,452.9,2,Melissa Cox,Botswana,25-05-2025,Dining Table,Home,226.45
48,28-04-2025,299,3,846.84,3,Seth Ortiz,Burkina Faso,01-12-2023,Tablet,Electronics,282.28
49,04-12-2024,25,15,653.39,1,Alexander Nunez,Slovenia,05-07-2024,Comics,Books,653.39
50,04-10-2024,269,15,3266.95,5,Kelly Montoya,Qatar,04-11-2023,Comics,Books,653.39
51,17-08-2024,470,1,1286.06,2,Mrs. Abigail Manning,Korea,01-08-2023,Smartphone,Electronics,643.03
52,17-01-2025,276,6,3399.65,5,Brandy Howell,Belize,07-04-2024,Jeans,Clothing,679.93
53,30-07-2024,55,10,79,2,Mr. Lucas Thomas,Netherlands,27-01-2025,Lamp,Home,39.5
54,02-01-2025,177,3,564.56,2,Charles Tapia,Syrian Arab Republic,30-06-2024,Tablet,Electronics,282.28
55,22-06-2025,351,1,2572.12,4,Kristi Reyes,Papua New Guinea,18-08-2023,Smartphone,Electronics,643.03
56,07-06-2025,472,15,2613.56,4,Brandy Clayton MD,Belarus,13-04-2024,Comics,Books,653.39
57,01-12-2024,293,2,104.28,3,Ashley Strickland,Wallis and Futuna,28-04-2025,Laptop,Electronics,34.76
58,19-01-2025,148,11,1132.25,5,Gina Cox,Bangladesh,11-05-2024,Dining Table,Home,226.45
59,13-02-2025,489,8,192.14,2,Alyssa Gomez,British Indian Ocean Territory (Chagos Archipelago),10-06-2025,Shoes,Clothing,96.07
60,19-08-2024,275,15,1960.17,3,Kathleen Mann,Sri Lanka,21-01-2024,Comics,Books,653.39
61,20-06-2025,360,15,653.39,1,Trevor Walker,United Kingdom,15-07-2024,Comics,Books,653.39
62,09-10-2024,45,2,69.52,2,Julie Price,Andorra,26-06-2025,Laptop,Electronics,34.76
63,22-08-2024,39,7,893.26,1,Jessica Hammond,Libyan Arab Jamahiriya,22-02-2025,Jacket,Clothing,893.26
64,09-08-2024,47,9,1283.1,3,Michael French,Paraguay,31-12-2024,Sofa,Home,427.7
65,26-06-2025,263,7,3573.04,4,Jared Rhodes,Germany,29-06-2025,Jacket,Clothing,893.26
66,01-09-2024,237,11,679.35,3,Bailey Price,Falkland Islands (Malvinas),01-05-2024,Dining Table,Home,226.45
67,20-02-2025,368,6,679.93,1,Michael Martinez,Nepal,15-08-2024,Jeans,Clothing,679.93
68,27-03-2025,140,15,1306.78,2,Kirsten Armstrong,Cote d'Ivoire,27-11-2024,Comics,Books,653.39
69,09-10-2024,283,7,4466.3,5,Gloria Stevenson,Cayman Islands,10-06-2025,Jacket,Clothing,893.26
70,27-10-2024,86,8,288.21,3,Angela Love,Palestinian Territory,09-03-2025,Shoes,Clothing,96.07
71,15-09-2024,130,6,1359.86,2,Lawrence Cunningham,Anguilla,23-11-2023,Jeans,Clothing,679.93
72,25-10-2024,108,9,1710.8,4,Joshua Peterson,Namibia,03-05-2024,Sofa,Home,427.7
73,13-09-2024,450,3,1129.12,4,Jennifer Fisher,Maldives,18-03-2025,Tablet,Electronics,282.28
74,24-08-2024,90,7,3573.04,4,Michelle Carrillo,Argentina,03-09-2024,Jacket,Clothing,893.26
75,06-05-2025,48,12,1020.6,2,Christine Mayo,Iraq,01-10-2024,Curtains,Home,510.3
76,25-08-2024,298,12,1530.9,3,Rebecca Bauer,Austria,24-01-2024,Curtains,Home,510.3
77,14-03-2025,357,3,564.56,2,Christina Juarez,San Marino,14-09-2024,Tablet,Electronics,282.28
78,19-12-2024,45,9,855.4,2,Julie Price,Andorra,26-06-2025,Sofa,Home,427.7
79,10-03-2025,478,7,4466.3,5,Sarah Stephens,Iran,29-08-2024,Jacket,Clothing,893.26
80,08-10-2024,256,14,1034.25,5,Mrs. Angela Jones DVM,Russian Federation,27-05-2025,Non-Fiction,Books,206.85
81,10-01-2025,233,8,288.21,3,Henry Lozano,Estonia,05-10-2023,Shoes,Clothing,96.07
82,06-05-2025,333,7,4466.3,5,Latoya Mckee,Mauritania,02-10-2023,Jacket,Clothing,893.26
83,25-11-2024,460,3,1129.12,4,Ashley Ford,Zimbabwe,22-06-2025,Tablet,Electronics,282.28
84,24-07-2024,491,4,1154.9,5,Jennifer Knox,Northern Mariana Islands,06-04-2025,Smartwatch,Electronics,230.98
85,25-06-2025,386,14,827.4,4,Shelley Lester,Trinidad and Tobago,15-09-2024,Non-Fiction,Books,206.85
86,10-11-2024,421,13,108.81,3,Matthew Gillespie,Nepal,01-11-2024,Fiction,Books,36.27
87,18-10-2024,500,2,69.52,2,Savannah Jordan,Niger,27-04-2025,Laptop,Electronics,34.76
88,05-02-2025,118,8,192.14,2,Brian Jones,Vanuatu,09-01-2024,Shoes,Clothing,96.07
89,03-02-2025,78,13,181.35,5,Carolyn Todd,Singapore,02-05-2025,Fiction,Books,36.27
90,28-11-2024,111,1,2572.12,4,Jack Turner,China,10-03-2025,Smartphone,Electronics,643.03
91,06-09-2024,474,3,282.28,1,Bruce Vaughn,Mongolia,11-03-2024,Tablet,Electronics,282.28
92,27-07-2024,333,3,282.28,1,Latoya Mckee,Mauritania,02-10-2023,Tablet,Electronics,282.28
93,10-12-2024,304,3,282.28,1,Brian Mathis,Saint Lucia,19-08-2023,Tablet,Electronics,282.28
94,09-06-2025,418,7,1786.52,2,Thomas Martin,Guyana,06-12-2024,Jacket,Clothing,893.26
95,16-03-2025,465,4,461.96,2,Deanna Newman,American Samoa,14-11-2023,Smartwatch,Electronics,230.98
96,08-01-2025,13,13,145.08,4,Paul Hammond,Azerbaijan,28-02-2024,Fiction,Books,36.27
97,14-08-2024,375,6,3399.65,5,Mark Mcguire,Cape Verde,09-10-2024,Jeans,Clothing,679.93
98,15-08-2024,254,6,679.93,1,David Gutierrez,Saint Lucia,03-07-2024,Jeans,Clothing,679.93
99,25-04-2025,361,2,139.04,4,Christian Walker,Japan,11-04-2024,Laptop,Electronics,34.76
100,30-04-2025,348,1,2572.12,4,Paul Baker,Angola,27-06-2024,Smartphone,Electronics,643.03
101,04-03-2025,13,2,173.8,5,Paul Hammond,Azerbaijan,28-02-2024,Laptop,Electronics,34.76
102,28-01-2025,406,3,1129.12,4,Kathleen Williams,Kyrgyz Republic,23-04-2025,Tablet,Electronics,282.28
103,03-11-2024,92,7,4466.3,5,Stephen Johnson,Thailand,06-12-2024,Jacket,Clothing,893.26
104,18-10-2024,372,9,1283.1,3,Robert Duncan,Cuba,16-05-2025,Sofa,Home,427.7
105,02-11-2024,310,16,2747.45,5,Kenneth Stafford,Mauritania,04-11-2023,Biography,Books,549.49
106,04-06-2025,27,16,549.49,1,Kayla Boyd,Colombia,13-01-2024,Biography,Books,549.49
107,13-12-2024,71,2,34.76,1,Maria Li,Congo,10-03-2025,Laptop,Electronics,34.76
108,27-03-2025,314,16,2747.45,5,Louis Marshall,Dominica,06-06-2024,Biography,Books,549.49
109,28-08-2024,371,7,2679.78,3,Steven Dyer,Sri Lanka,22-08-2023,Jacket,Clothing,893.26
110,19-12-2024,374,14,620.55,3,Hayden Young,Botswana,09-12-2024,Non-Fiction,Books,206.85
111,13-04-2025,417,4,230.98,1,Ann Macias,Georgia,26-08-2023,Smartwatch,Electronics,230.98
112,17-10-2024,224,14,620.55,3,John Hart,Cayman Islands,16-12-2023,Non-Fiction,Books,206.85
113,28-10-2024,106,9,1710.8,4,Mario Craig,Chad,14-07-2025,Sofa,Home,427.7
114,05-12-2024,331,12,1020.6,2,Brian Savage,Niger,04-11-2024,Curtains,Home,510.3
115,15-02-2025,17,10,158,4,Cindy Mendoza,Turkmenistan,19-05-2025,Lamp,Home,39.5
116,29-09-2024,454,16,549.49,1,Cynthia Baker,Marshall Islands,17-07-2025,Biography,Books,549.49
117,05-04-2025,395,12,1530.9,3,William Potts,Guernsey,14-08-2024,Curtains,Home,510.3
118,25-11-2024,349,2,173.8,5,John Franklin,Greece,07-12-2023,Laptop,Electronics,34.76
119,02-06-2025,378,2,69.52,2,Elizabeth Jones,Seychelles,31-12-2023,Laptop,Electronics,34.76
120,22-08-2024,40,16,2747.45,5,Michael Taylor,United Arab Emirates,19-06-2025,Biography,Books,549.49
121,02-01-2025,401,11,226.45,1,Mark Griffin,Holy See (Vatican City State),30-07-2024,Dining Table,Home,226.45
122,06-02-2025,441,16,1648.47,3,Jessica Gonzalez,Algeria,12-01-2025,Biography,Books,549.49
123,10-05-2025,64,15,3266.95,5,Shawna Decker,Belarus,31-03-2025,Comics,Books,653.39
124,06-10-2024,494,12,2551.5,5,Kristin Yates,Guinea-Bissau,10-08-2024,Curtains,Home,510.3
125,15-11-2024,229,6,1359.86,2,Laura Jimenez,Saint Pierre and Miquelon,20-10-2023,Jeans,Clothing,679.93
126,31-10-2024,280,7,1786.52,2,Whitney Marshall,Angola,23-05-2024,Jacket,Clothing,893.26
127,10-01-2025,54,3,846.84,3,Jack Blake,Tokelau,23-01-2024,Tablet,Electronics,282.28
128,04-06-2025,113,14,413.7,2,Greg Cooper,Cape Verde,10-11-2023,Non-Fiction,Books,206.85
129,01-05-2025,233,1,3215.15,5,Henry Lozano,Estonia,05-10-2023,Smartphone,Electronics,643.03
130,12-03-2025,313,7,4466.3,5,Matthew Howell,Grenada,06-11-2023,Jacket,Clothing,893.26
131,29-08-2024,187,14,206.85,1,Lisa King,Sao Tome and Principe,15-05-2024,Non-Fiction,Books,206.85
132,25-07-2024,165,4,1154.9,5,Craig Jackson,Saint Helena,12-12-2024,Smartwatch,Electronics,230.98
133,22-07-2024,294,9,1283.1,3,Heather Frazier,Netherlands,01-10-2023,Sofa,Home,427.7
134,02-07-2025,458,14,827.4,4,Alyssa Reeves,Venezuela,20-06-2024,Non-Fiction,Books,206.85
135,29-04-2025,394,2,34.76,1,Logan Roach,Switzerland,15-07-2025,Laptop,Electronics,34.76
136,19-02-2025,389,4,230.98,1,Francisco Weaver,Saint Martin,23-04-2024,Smartwatch,Electronics,230.98
137,18-12-2024,15,13,108.81,3,Mary Hicks,Bahamas,27-05-2025,Fiction,Books,36.27
138,28-05-2025,144,5,2217.33,3,Eric Johnson,Ecuador,29-09-2024,T-Shirt,Clothing,739.11
139,23-01-2025,249,7,1786.52,2,Ann Brown,Malta,20-02-2024,Jacket,Clothing,893.26
140,10-05-2025,496,14,206.85,1,Mr. James Gilbert,Guam,28-07-2024,Non-Fiction,Books,206.85
141,06-09-2024,399,12,1020.6,2,Aaron Riddle,Somalia,21-05-2024,Curtains,Home,510.3
142,23-09-2024,134,11,1132.25,5,Dustin Mckee,Poland,02-10-2023,Dining Table,Home,226.45
143,30-09-2024,10,15,653.39,1,Jamie Wright,Estonia,22-03-2024,Comics,Books,653.39
144,25-02-2025,1,16,549.49,1,Benjamin Spencer,Venezuela,07-06-2024,Biography,Books,549.49
145,16-07-2025,255,12,2041.2,4,Tina Lowe,Italy,16-12-2024,Curtains,Home,510.3
146,18-09-2024,150,8,96.07,1,April Harris,Azerbaijan,27-07-2024,Shoes,Clothing,96.07
147,02-01-2025,80,14,1034.25,5,Jacob Wilson,Grenada,23-06-2024,Non-Fiction,Books,206.85
148,09-06-2025,89,11,452.9,2,Ryan Smith,Ireland,04-07-2024,Dining Table,Home,226.45
149,20-07-2025,324,15,1306.78,2,Terri Harris,Bahamas,06-01-2024,Comics,Books,653.39
150,03-02-2025,143,2,139.04,4,Kimberly Conley,Mozambique,04-08-2024,Laptop,Electronics,34.76
151,18-12-2024,272,3,1411.4,5,Daniel Williams,Cape Verde,22-12-2023,Tablet,Electronics,282.28
152,06-06-2025,392,7,1786.52,2,Danielle Vaughn,Saint Kitts and Nevis,19-05-2024,Jacket,Clothing,893.26
153,06-05-2025,335,8,288.21,3,Jonathan Martinez,Lebanon,21-02-2025,Shoes,Clothing,96.07
154,05-08-2024,192,11,1132.25,5,Thomas Jackson,Lebanon,22-11-2024,Dining Table,Home,226.45
155,06-06-2025,227,9,2138.5,5,Rhonda Wright,Faroe Islands,07-03-2024,Sofa,Home,427.7
156,29-10-2024,64,5,2956.44,4,Shawna Decker,Belarus,31-03-2025,T-Shirt,Clothing,739.11
157,29-06-2025,126,12,1020.6,2,Brian Anderson,Jamaica,22-11-2024,Curtains,Home,510.3
158,26-09-2024,210,16,2747.45,5,Lisa Ross,Azerbaijan,19-12-2024,Biography,Books,549.49
159,11-01-2025,258,13,72.54,2,Cassie Contreras,Saint Lucia,18-10-2023,Fiction,Books,36.27
160,09-03-2025,312,5,2217.33,3,Karen Hernandez,Finland,02-11-2024,T-Shirt,Clothing,739.11
161,24-03-2025,56,9,1710.8,4,Jason Dixon,Dominican Republic,28-12-2024,Sofa,Home,427.7
162,04-06-2025,58,14,620.55,3,Andrew Davis,Bermuda,14-03-2025,Non-Fiction,Books,206.85
163,17-12-2024,59,4,923.92,4,Melissa Hill,Kenya,24-07-2023,Smartwatch,Electronics,230.98
164,22-04-2025,478,5,3695.55,5,Sarah Stephens,Iran,29-08-2024,T-Shirt,Clothing,739.11
165,06-01-2025,472,2,139.04,4,Brandy Clayton MD,Belarus,13-04-2024,Laptop,Electronics,34.76
166,23-03-2025,171,16,549.49,1,Vanessa Mills,Tonga,03-05-2024,Biography,Books,549.49
167,28-01-2025,61,5,1478.22,2,Alisha Maldonado,Kuwait,27-12-2024,T-Shirt,Clothing,739.11
168,20-03-2025,330,9,855.4,2,Derrick Washington,Malawi,14-07-2024,Sofa,Home,427.7
169,01-03-2025,105,5,739.11,1,Eugene Miller,Iran,09-03-2025,T-Shirt,Clothing,739.11
170,30-04-2025,422,14,620.55,3,Clifford Bailey,Lao People's Democratic Republic,25-07-2024,Non-Fiction,Books,206.85
171,18-07-2025,241,8,96.07,1,Darren Day,Kazakhstan,04-07-2024,Shoes,Clothing,96.07
172,27-01-2025,245,3,1411.4,5,Curtis Henderson,Libyan Arab Jamahiriya,21-01-2025,Tablet,Electronics,282.28
173,19-10-2024,306,6,3399.65,5,Judy Jackson,Chad,26-03-2024,Jeans,Clothing,679.93
174,21-08-2024,433,3,564.56,2,Richard Shaw,Bouvet Island (Bouvetoya),07-12-2024,Tablet,Electronics,282.28
175,05-08-2024,45,6,3399.65,5,Julie Price,Andorra,26-06-2025,Jeans,Clothing,679.93
176,14-02-2025,246,10,79,2,Christina Mora,Norway,11-08-2024,Lamp,Home,39.5
177,20-08-2024,381,14,206.85,1,Christine Martin,Bolivia,24-02-2024,Non-Fiction,Books,206.85
178,22-11-2024,63,5,739.11,1,Karen Webb,Monaco,10-08-2024,T-Shirt,Clothing,739.11
179,02-02-2025,57,6,679.93,1,Lisa Garcia,Malawi,06-06-2025,Jeans,Clothing,679.93
180,12-12-2024,397,6,1359.86,2,Heather Thomas,Syrian Arab Republic,20-08-2024,Jeans,Clothing,679.93
181,01-05-2025,14,8,96.07,1,Omar Camacho,Ireland,28-07-2023,Shoes,Clothing,96.07
182,10-10-2024,249,6,679.93,1,Ann Brown,Malta,20-02-2024,Jeans,Clothing,679.93
183,14-11-2024,493,15,1960.17,3,Nicole Bush,Bahamas,04-07-2024,Comics,Books,653.39
184,04-11-2024,150,9,427.7,1,April Harris,Azerbaijan,27-07-2024,Sofa,Home,427.7
185,09-03-2025,291,12,2551.5,5,Ryan Frazier,Holy See (Vatican City State),16-11-2023,Curtains,Home,510.3
186,29-12-2024,135,11,452.9,2,Brenda Watson,Netherlands,04-08-2024,Dining Table,Home,226.45
187,19-04-2025,134,16,1648.47,3,Dustin Mckee,Poland,02-10-2023,Biography,Books,549.49
188,28-05-2025,152,14,827.4,4,Mrs. Julie Murray,Korea,31-08-2024,Non-Fiction,Books,206.85
189,16-04-2025,315,7,1786.52,2,James Armstrong,Puerto Rico,29-02-2024,Jacket,Clothing,893.26
190,18-03-2025,487,1,3215.15,5,Lori Young,Antigua and Barbuda,24-10-2023,Smartphone,Electronics,643.03
191,09-02-2025,365,7,1786.52,2,Bryan White,Congo,13-07-2025,Jacket,Clothing,893.26
192,12-04-2025,361,12,2551.5,5,Christian Walker,Japan,11-04-2024,Curtains,Home,510.3
193,06-12-2024,298,9,2138.5,5,Rebecca Bauer,Austria,24-01-2024,Sofa,Home,427.7
194,13-10-2024,261,14,827.4,4,Travis Morgan,Jordan,10-03-2024,Non-Fiction,Books,206.85
195,05-11-2024,88,14,413.7,2,Amanda Grimes,Solomon Islands,07-02-2024,Non-Fiction,Books,206.85
196,29-03-2025,220,13,145.08,4,Amy Martin,Malawi,09-03-2024,Fiction,Books,36.27
197,18-10-2024,236,9,1710.8,4,Elizabeth Drake,Czech Republic,30-03-2024,Sofa,Home,427.7
198,26-12-2024,38,5,1478.22,2,Trevor Foster,Latvia,29-07-2023,T-Shirt,Clothing,739.11
199,26-05-2025,340,15,653.39,1,Gregory Chang,San Marino,14-02-2025,Comics,Books,653.39
200,27-07-2024,184,15,653.39,1,Ryan Moore,Nauru,01-10-2024,Comics,Books,653.39
201,01-08-2024,298,5,2956.44,4,Rebecca Bauer,Austria,24-01-2024,T-Shirt,Clothing,739.11
202,06-08-2024,192,9,1283.1,3,Thomas Jackson,Lebanon,22-11-2024,Sofa,Home,427.7
203,17-12-2024,38,5,2956.44,4,Trevor Foster,Latvia,29-07-2023,T-Shirt,Clothing,739.11
204,27-01-2025,469,11,905.8,4,Alejandra Sims,Svalbard & Jan Mayen Islands,23-01-2025,Dining Table,Home,226.45
205,11-12-2024,235,12,2041.2,4,Danielle Robinson,Norway,19-02-2024,Curtains,Home,510.3
206,22-10-2024,252,6,679.93,1,Jonathan Elliott,Christmas Island,01-01-2025,Jeans,Clothing,679.93
207,27-12-2024,237,3,282.28,1,Bailey Price,Falkland Islands (Malvinas),01-05-2024,Tablet,Electronics,282.28
208,16-09-2024,386,7,893.26,1,Shelley Lester,Trinidad and Tobago,15-09-2024,Jacket,Clothing,893.26
209,25-10-2024,132,11,905.8,4,Laurie Taylor,Tuvalu,20-06-2025,Dining Table,Home,226.45
210,15-10-2024,358,7,2679.78,3,Clifford Merritt,Uganda,27-01-2025,Jacket,Clothing,893.26
211,30-01-2025,35,6,679.93,1,Levi Copeland,Bouvet Island (Bouvetoya),11-01-2024,Jeans,Clothing,679.93
212,02-06-2025,302,13,72.54,2,Robert Keith,Vanuatu,27-11-2024,Fiction,Books,36.27
213,22-12-2024,338,7,1786.52,2,Cynthia Wood,Saint Barthelemy,11-11-2023,Jacket,Clothing,893.26
214,06-04-2025,45,14,413.7,2,Julie Price,Andorra,26-06-2025,Non-Fiction,Books,206.85
215,19-06-2025,325,9,2138.5,5,Dawn Miller,Mauritania,14-05-2025,Sofa,Home,427.7
216,02-03-2025,85,16,2197.96,4,Andrea Wallace,Egypt,08-12-2023,Biography,Books,549.49
217,04-11-2024,440,4,461.96,2,Ashley Jones,Togo,13-05-2024,Smartwatch,Electronics,230.98
218,17-05-2025,429,13,145.08,4,Kelly Richardson,Bolivia,02-09-2024,Fiction,Books,36.27
219,16-02-2025,18,6,1359.86,2,Robert Rivera,South Georgia and the South Sandwich Islands,28-12-2024,Jeans,Clothing,679.93
220,03-02-2025,153,11,679.35,3,Erin Hill,Aruba,13-11-2023,Dining Table,Home,226.45
221,18-09-2024,338,5,2956.44,4,Cynthia Wood,Saint Barthelemy,11-11-2023,T-Shirt,Clothing,739.11
222,09-03-2025,395,3,564.56,2,William Potts,Guernsey,14-08-2024,Tablet,Electronics,282.28
223,06-05-2025,257,8,96.07,1,Mike Clayton,Jordan,20-03-2025,Shoes,Clothing,96.07
224,21-06-2025,494,14,827.4,4,Kristin Yates,Guinea-Bissau,10-08-2024,Non-Fiction,Books,206.85
225,06-07-2025,274,15,3266.95,5,Jeffrey Walker,Greenland,26-09-2024,Comics,Books,653.39
226,15-09-2024,322,11,226.45,1,Janet Barron,Norfolk Island,14-01-2025,Dining Table,Home,226.45
227,06-12-2024,148,7,893.26,1,Gina Cox,Bangladesh,11-05-2024,Jacket,Clothing,893.26
228,10-11-2024,497,7,4466.3,5,Laura Johnson,Brunei Darussalam,05-06-2024,Jacket,Clothing,893.26
229,03-11-2024,303,8,96.07,1,Jeffrey Martin,Dominican Republic,03-05-2024,Shoes,Clothing,96.07
230,13-10-2024,312,11,226.45,1,Karen Hernandez,Finland,02-11-2024,Dining Table,Home,226.45
231,12-09-2024,67,9,855.4,2,Katie Davis,Cocos (Keeling) Islands,07-10-2023,Sofa,Home,427.7
232,24-08-2024,339,6,1359.86,2,Thomas Caldwell,Ireland,12-10-2024,Jeans,Clothing,679.93
233,26-09-2024,161,6,2719.72,4,Stephanie Jackson,Martinique,29-06-2025,Jeans,Clothing,679.93
234,20-03-2025,58,13,145.08,4,Andrew Davis,Bermuda,14-03-2025,Fiction,Books,36.27
235,25-06-2025,261,5,2956.44,4,Travis Morgan,Jordan,10-03-2024,T-Shirt,Clothing,739.11
236,30-03-2025,189,10,79,2,Perry Black,Armenia,09-02-2025,Lamp,Home,39.5
237,06-11-2024,361,5,2956.44,4,Christian Walker,Japan,11-04-2024,T-Shirt,Clothing,739.11
238,09-05-2025,463,13,36.27,1,Kelsey Shaw,Guyana,04-10-2024,Fiction,Books,36.27
239,15-04-2025,100,2,69.52,2,Robin Smith,Andorra,24-03-2024,Laptop,Electronics,34.76
240,08-01-2025,11,15,2613.56,4,Christopher Morales,Oman,18-04-2025,Comics,Books,653.39
241,01-09-2024,238,14,206.85,1,Nicholas Kennedy,Croatia,05-10-2023,Non-Fiction,Books,206.85
242,08-02-2025,469,11,905.8,4,Alejandra Sims,Svalbard & Jan Mayen Islands,23-01-2025,Dining Table,Home,226.45
243,30-01-2025,14,4,692.94,3,Omar Camacho,Ireland,28-07-2023,Smartwatch,Electronics,230.98
244,22-12-2024,87,11,905.8,4,Teresa Sanders,Ghana,09-07-2024,Dining Table,Home,226.45
245,26-09-2024,455,7,2679.78,3,Jeffrey Price,Wallis and Futuna,14-11-2024,Jacket,Clothing,893.26
246,27-02-2025,349,15,2613.56,4,John Franklin,Greece,07-12-2023,Comics,Books,653.39
247,06-02-2025,424,16,2747.45,5,Robert Mckinney,Algeria,07-07-2024,Biography,Books,549.49
248,22-01-2025,91,8,384.28,4,Paul Wade,Denmark,10-08-2023,Shoes,Clothing,96.07
249,02-05-2025,171,6,1359.86,2,Vanessa Mills,Tonga,03-05-2024,Jeans,Clothing,679.93
250,23-12-2024,346,16,1098.98,2,Lori Allen,Poland,29-01-2025,Biography,Books,549.49
251,12-07-2025,423,11,679.35,3,Michael White,Germany,01-10-2024,Dining Table,Home,226.45
252,16-08-2024,244,11,452.9,2,Melody Perry,Saint Barthelemy,26-02-2024,Dining Table,Home,226.45
